82	TALOT991	TOUCH ALCATEL OT991	TOUCH	ALCATEL	OT991	OT991		 $200 	 $-   
83	DALOT995	DISPLAY ALCATEL OT995A	DISPLAY	ALCATEL	OT995A	OT995A ULTRA		 $650 	 $-   
84	TALOT995	TOUCH ALCATEL OT995A	TOUCH	ALCATEL	OT995A	ONE TOUCH ULTRA		 $350 	 $-   
85	BALOT5030	BATERIA ALCATEL OT5030 ( TLiB5AF)	BATERIA	ALCATEL	TLiB5AF	ONE TOUCH X'POP		 $75 	
86	MLIPH60	MANOS LIBRES IPHONE	MANOS LIBRES	APPLE	3.5MM	MANOS LIBRES IPHONE		 $85 	 $-   
87	USBIPH5	CABLE DE DATOS 8 PINS CERTIFICADO	CABLE USB	APPLE	8 PINS CERTIFICADO	IPHONE 5		 $230 	 $-   
88	DIPA	DISPLAY IPAD	DISPLAY	APPLE	IPAD 	IPAD 		 $1,050 	 $-   
89	TOUCHIPAD1	TOUCH IPAD	TOUCH	APPLE	IPAD 1	IPAD		 $250 	 $-   
90	BOTNK	BOTON IPAD 2 HOME	BOTON HOME	APPLE	IPAD 2	IPAD 2		 $35 	 $-   
91	DIPA2	DISPLAY IPAD 2	DISPLAY	APPLE	IPAD 2	IPAD 2		 $700 	 $1,300 
92	ANTIPAD2W	FLEX IPAD 2 ANTENA WIFI	FLEX ANTENA	APPLE	IPAD 2	ANTENA WIFI		 $50 	 $-   
93	FIPA2AL	FLEX IPAD 2 AUDIO LINE 	FLEX AUDIO LINE	APPLE	IPAD 2	AUDIO LINE		 $140 	 $-   
94	CCIPAD2	FLEX IPAD 2 CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPAD 2	CENTRO DE CARGA		 $120 	 $-   
95	FIPAD2PWR	FLEX IPAD 2 ON/OFF	FLEX ENCENDIDO	APPLE	IPAD 2	ON/OFF		 $120 	 $-   
96	FIPAD2PWR	FLEX IPAD 2 ON/OFF NUEVA GENERACION	FLEX ENCENDIDO	APPLE	IPAD 2	ON/OFF	NUEVA GENERACION	 $120 	 $-   
97	TIPA2	TOUCH IPAD 2	TOUCH	APPLE	IPAD 2			 $300 	 $850 
98	BIPA2	BATERIA IPAD 2	BATERIA	APPLE	IPAD 2	IPAD 2		 $350 	 $-   
99	BIPAM2	BATERIA IPAD MINI 2	BATERIA	APPLE	IPAD 2 MINI	2 MINI		 $450 	 $800 
100	BOTIPA2	BOTON IPAD 3 HOME	BOTON HOME	APPLE	IPAD 3	IPAD 3		 $35 	 $-   
101	BZIPA3	BUZZER IPAD 3	BUZZER	APPLE	IPAD 3	IPAD 3		 $80 	 $-   
102	DIPA3	DISPLAY IPAD 3	DISPLAY	APPLE	IPAD 3	IPAD 3		 $700 	 $1,600 
103	CCIPAD3	FLEX IPAD 3 CENTRO DE CARGA	FLEX CENTRO DE CARGA	APPLE	IPAD 3	CENTRO DE CARGA		 $100 	 $-   
104	FIPA3HM	FLEX IPAD 3 HOME	FLEX HOME	APPLE	IPAD 3	HOME		 $65 	 $-   
