176	FLEX CENTRO DE CARGA	APPLE	IPHONE 4S	CENTRO DE CARGA		 $80 	 $80 	 $350 
177	TAPA	APPLE	IPHONE 4S	IPHONE 4S		 $100 	 $100 	 $250 
178	CAMARA FRONTAL	APPLE	IPHONE 4S	IPHONE 4S		 $120 	 $120 	 $-   
179	BOTON HOME	APPLE	IPHONE 5	IPHONE 5		 $25 	 $25 	 $120 
180	BUZZER	APPLE	IPHONE 5	IPHONE 5		 $50 	 $50 	 $250 
181	CABLE USB	APPLE	IPHONE 5	IPHONE 5		 $85 	 $85 	 $-   
182	COVER CON BATERIA	APPLE	IPHONE 5	IPHONE 5		 $330 	 $350 	 $450 
183	DISPLAY + TOUCH	APPLE	IPHONE 5	IPHONE 5		 $1,280 	 $1,280 	 $1,500 
184	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 5	EXTENSION CONECTOR DISPLAY		 $100 	 $100 	
185	FLEX CENTRO DE CARGA	APPLE	IPHONE 5	CENTRO DE CARGA		 $140 	 $150 	 $350 
186	FLEX HOME	APPLE	IPHONE 5	HOME		 $40 	 $50 	 $-   
187	FLEX ENCENDIDO	APPLE	IPHONE 5	ON/OFF		 $90 	 $100 	 $350 
188	FLEX SPEAKER	APPLE	IPHONE 5	SPEAKER		 $120 	 $140 	 $-   
189	SIM HOLDER	APPLE	IPHONE 5	IPHONE 5		 $50 	 $50 	 $-   
190	CARCASA/TAPA	APPLE	IPHONE 5	IPHONE 5		 $450 	 $450 	 $750 
191	ARO	APPLE	IPHONE 5	IPHONE 5	5C / 5S	 $60 	 $60 	 $-   
192	BACKLIGTH	APPLE	IPHONE 5	IPHONE 5		 $80 	 $80 	 $300 
193	BATERIA	APPLE	IPHONE 5	IPHONE 5		 $130 	 $150 	 $350 
194	CAMARA FRONTAL	APPLE	IPHONE 5	IPHONE 5		 $90 	 $90 	 $-   
195	CAMARA TRASERA	APPLE	IPHONE 5	IPHONE 5		 $150 	 $150 	 $-   
196	SPEAKER	APPLE	IPHONE 5	IPHONE 5		 $40 	 $40 	 $-   
197	TORNILLOS	APPLE	IPHONE 5	IPHONE 5		 $20 	 $20 	 $50 
198	VIBRADOR	APPLE	IPHONE 5	IPHONE 5		 $30 	 $30 	
199	VIDRIO	APPLE	IPHONE 5	IPHONE 5		 $120 	 $120 	 $-   
200	BOTON HOME	APPLE	IPHONE 5C	IPHONE 5C		 $35 	 $35 	 $-   
201	DISPLAY + TOUCH	APPLE	IPHONE 5C	IPHONE 5C		 $1,280 	 $1,280 	 $1,500 
202	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 5C	EXTENSION CONECTOR DISPLAY		 $100 	 $100 	
203	FLEX ANTENA	APPLE	IPHONE 5C	ANTENA WIFI		 $50 	 $50 	 $250 
204	FLEX CENTRO DE CARGA	APPLE	IPHONE 5C	CENTRO DE CARGA		 $150 	 $150 	 $350 
205	FLEX HOME	APPLE	IPHONE 5C	HOME		 $40 	 $50 	 $-   
206	FLEX ENCENDIDO	APPLE	IPHONE 5C	ON/OFF		 $130 	 $140 	 $-   
207	CAMARA FRONTAL	APPLE	IPHONE 5C	IPHONE 5C		 $120 	 $120 	 $350 
208	CAMARA TRASERA	APPLE	IPHONE 5C	IPHONE 5C		 $200 	 $200 	 $-   
209	BUZZER	APPLE	IPHONE 5S	IPHONE 5S		 $50 	 $50 	 $350 
210	DISPLAY + TOUCH	APPLE	IPHONE 5S	IPHONE 5S		 $1,280 	 $1,280 	 $1,500 
211	FLEX CENTRO DE CARGA	APPLE	IPHONE 5S	IPHONE 5S		 $150 	 $150 	 $-   
212	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 5S	EXTENSION CONECTOR DISPLAY		 $100 	 $100 	
213	FLEX CENTRO DE CARGA	APPLE	IPHONE 5S	CENTRO DE CARGA		 $150 	 $150 	 $350 
214	FLEX HOME	APPLE	IPHONE 5S	HOME		 $400 	 $400 	 $-   
215	FLEX ENCENDIDO	APPLE	IPHONE 5S	ON/OFF		 $140 	 $150 	 $-   
216	CARCASA/TAPA	APPLE	IPHONE 5S	IPHONE 5S		 $500 	 $500 	 $800 
217	BATERIA	APPLE	IPHONE 5S	IPHONE 5S		 $130 	 $150 	 $350 
218	CAMARA FRONTAL	APPLE	IPHONE 5S	IPHONE 5S		 $180 	 $180 	 $350 
219	CAMARA TRASERA	APPLE	IPHONE 5S	IPHONE 5S		 $150 	 $150 	 $350 
220	SPEAKER	APPLE	IPHONE 5S	IPHONE 5S		 $40 	 $40 	 $-   
221	BATERIA	APPLE	IPHONE 5V	IPHONE 5V		 $130 	 $150 	 $350 
222	SPEAKER	APPLE	IPHONE 5V	IPHONE 5V		 $50 	 $50 	 $-   
223	BUZZER	APPLE	IPHONE 6	IPHONE 6		 $130 	 $140 	 $-   
224	DISPLAY + TOUCH	APPLE	IPHONE 6	IPHONE 6		 $2,000 	 $2,000 	 $2,600 
225	DISPLAY + TOUCH COPY	APPLE	IPHONE 6	IPHONE 6		 $1,200 	 $1,200 	 $1,800 
226	FLEX EXTENSION CONECTOR DISPLAY	APPLE	IPHONE 6	EXTENSION CONECTOR DISPLAY		 $120 	 $120 	
227	FLEX CENTRO DE CARGA	APPLE	IPHONE 6	CENTRO DE CARGA		 $150 	 $160 	 . 
